timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561393782348,475,HTTP Request-0,301,Moved Permanently,yogitest 1-33,,true,,279,115,24,24,http://yoginth.com/,475,0,229
1561393782824,3426,HTTP Request-1,200,OK,yogitest 1-33,text,true,,7982,115,24,24,https://yoginth.com/,3394,0,1207
1561393782348,3941,HTTP Request,200,OK,yogitest 1-37,text,true,,8261,230,23,23,https://yoginth.com/,481,0,228
1561393782348,481,HTTP Request-0,301,Moved Permanently,yogitest 1-37,,true,,279,115,23,23,http://yoginth.com/,481,0,228
1561393782830,3459,HTTP Request-1,200,OK,yogitest 1-37,text,true,,7982,115,23,23,https://yoginth.com/,3425,0,1192
1561393782341,3990,HTTP Request,200,OK,yogitest 1-8,text,true,,8261,230,22,22,https://yoginth.com/,799,0,274
1561393782341,799,HTTP Request-0,301,Moved Permanently,yogitest 1-8,,true,,279,115,22,22,http://yoginth.com/,799,0,274
1561393783141,3190,HTTP Request-1,200,OK,yogitest 1-8,text,true,,7982,115,22,22,https://yoginth.com/,3152,0,1108
1561393782345,4025,HTTP Request,200,OK,yogitest 1-18,text,true,,8261,230,21,21,https://yoginth.com/,718,0,246
1561393782345,718,HTTP Request-0,301,Moved Permanently,yogitest 1-18,,true,,279,115,21,21,http://yoginth.com/,718,0,246
1561393783064,3306,HTTP Request-1,200,OK,yogitest 1-18,text,true,,7982,115,21,21,https://yoginth.com/,3268,0,1064
1561393782341,4067,HTTP Request,200,OK,yogitest 1-10,text,true,,8261,230,20,20,https://yoginth.com/,790,0,273
1561393782341,790,HTTP Request-0,301,Moved Permanently,yogitest 1-10,,true,,279,115,20,20,http://yoginth.com/,790,0,273
1561393783132,3276,HTTP Request-1,200,OK,yogitest 1-10,text,true,,7982,115,20,20,https://yoginth.com/,3242,0,1077
1561393782342,4090,HTTP Request,200,OK,yogitest 1-42,text,true,,8261,230,19,19,https://yoginth.com/,801,0,273
1561393782342,801,HTTP Request-0,301,Moved Permanently,yogitest 1-42,,true,,279,115,19,19,http://yoginth.com/,801,0,273
1561393783143,3289,HTTP Request-1,200,OK,yogitest 1-42,text,true,,7982,115,19,19,https://yoginth.com/,3270,0,1113
1561393782340,4161,HTTP Request,200,OK,yogitest 1-5,text,true,,8261,230,18,18,https://yoginth.com/,814,0,279
